Postal Code,State,Primary_city,Zone
07502,NJ,Paterson,NJ-EDS-A
07503,NJ,Paterson,NJ-EDS-A
07504,NJ,Paterson,NJ-EDS-A
07505,NJ,Paterson,NJ-EDS-A
07506,NJ,Hawthorne,NJ-EDS-A
07508,NJ,Haledon,NJ-EDS-A
07510,NJ,Paterson,NJ-EDS-A
07512,NJ,Totowa,NJ-EDS-A
07513,NJ,Paterson,NJ-EDS-A
07514,NJ,Paterson,NJ-EDS-A
07522,NJ,Paterson,NJ-EDS-A
07524,NJ,Paterson,NJ-EDS-A
07601,NJ,Hackensack,NJ-EDS-A
07603,NJ,Bogota,NJ-EDS-A
07604,NJ,Hasbrouck Heights,NJ-EDS-A
07605,NJ,Leonia,NJ-EDS-A
07606,NJ,South Hackensack,NJ-EDS-A
07607,NJ,Maywood,NJ-EDS-A
07608,NJ,Teterboro,NJ-EDS-A
07620,NJ,Alpine,NJ-EDS-A
07621,NJ,Bergenfield,NJ-EDS-A
07624,NJ,Closter,NJ-EDS-A
07626,NJ,Cresskill,NJ-EDS-A
07627,NJ,Demarest,NJ-EDS-A
07628,NJ,Dumont,NJ-EDS-A
07630,NJ,Emerson,NJ-EDS-A
07631,NJ,Englewood,NJ-EDS-A
07632,NJ,Englewood Cliffs,NJ-EDS-A
07640,NJ,Harrington Park,NJ-EDS-A
07641,NJ,Haworth,NJ-EDS-A
07642,NJ,Hillsdale,NJ-EDS-A
07643,NJ,Little Ferry,NJ-EDS-A
07644,NJ,Lodi,NJ-EDS-A
07645,NJ,Montvale,NJ-EDS-A
07646,NJ,New Milford,NJ-EDS-A
07647,NJ,Northvale,NJ-EDS-A
07648,NJ,Norwood,NJ-EDS-A
07649,NJ,Oradell,NJ-EDS-A
07650,NJ,Palisades Park,NJ-EDS-A
07652,NJ,Paramus,NJ-EDS-A
07656,NJ,Park Ridge,NJ-EDS-A
07657,NJ,Ridgefield,NJ-EDS-A
07660,NJ,Ridgefield Park,NJ-EDS-A
07661,NJ,River Edge,NJ-EDS-A
07662,NJ,Rochelle Park,NJ-EDS-A
07663,NJ,Saddle Brook,NJ-EDS-A
07666,NJ,Teaneck,NJ-EDS-A
07670,NJ,Tenafly,NJ-EDS-A
07675,NJ,Westwood,NJ-EDS-A
07676,NJ,Township Of Washington,NJ-EDS-A
07677,NJ,Woodcliff Lake,NJ-EDS-A
07699,NJ,Teterboro,NJ-EDS-A
07701,NJ,Red Bank,NJ-EDS-A
07702,NJ,Shrewsbury,NJ-EDS-A
07703,NJ,Fort Monmouth,NJ-EDS-A
07704,NJ,Fair Haven,NJ-EDS-A
07711,NJ,Allenhurst,NJ-EDS-A
07712,NJ,Asbury Park,NJ-EDS-A
07715,NJ,Belmar,NJ-EDS-A
07716,NJ,Atlantic Highlands,NJ-EDS-A
07717,NJ,Avon By The Sea,NJ-EDS-A
07718,NJ,Belford,NJ-EDS-A
07719,NJ,Belmar,NJ-EDS-A
07720,NJ,Bradley Beach,NJ-EDS-A
07721,NJ,Cliffwood,NJ-EDS-A
07722,NJ,Colts Neck,NJ-EDS-A
07723,NJ,Deal,NJ-EDS-A
07724,NJ,Eatontown,NJ-EDS-A
07726,NJ,Englishtown,NJ-EDS-A
07727,NJ,Farmingdale,NJ-EDS-A
07728,NJ,Freehold,NJ-EDS-A
07730,NJ,Hazlet,NJ-EDS-A
07731,NJ,Howell,NJ-EDS-A
07732,NJ,Highlands,NJ-EDS-A
07733,NJ,Holmdel,NJ-EDS-A
07734,NJ,Keansburg,NJ-EDS-A
07735,NJ,Keyport,NJ-EDS-A
07737,NJ,Leonardo,NJ-EDS-A
07738,NJ,Lincroft,NJ-EDS-A
07739,NJ,Little Silver,NJ-EDS-A
07740,NJ,Long Branch,NJ-EDS-A
07746,NJ,Marlboro,NJ-EDS-A
07747,NJ,Matawan,NJ-EDS-A
07748,NJ,Middletown,NJ-EDS-A
07750,NJ,Monmouth Beach,NJ-EDS-A
07751,NJ,Morganville,NJ-EDS-A
07753,NJ,Neptune,NJ-EDS-A
07755,NJ,Oakhurst,NJ-EDS-A
07756,NJ,Ocean Grove,NJ-EDS-A
07757,NJ,Oceanport,NJ-EDS-A
07758,NJ,Port Monmouth,NJ-EDS-A
07760,NJ,Rumson,NJ-EDS-A
07762,NJ,Spring Lake,NJ-EDS-A
07764,NJ,West Long Branch,NJ-EDS-A
07799,NJ,Eatontown,NJ-EDS-A
07830,NJ,Califon,NJ-EDS-A
07901,NJ,Summit,NJ-EDS-A
07920,NJ,Basking Ridge,NJ-EDS-A
